,x,y,z,idx
463,62.0,83.333336,48.0,10
464,62.0,83.0,48.333332,10
465,63.666668,83.0,48.0,10
466,64.0,83.0,48.333332,10
467,22.0,84.0,48.333332,10
468,23.0,84.0,48.333332,10
469,24.0,84.0,48.333332,10
470,60.333332,84.0,48.0,10
471,60.0,84.333336,48.0,10
472,60.0,84.0,48.333332,10
473,63.666668,84.0,48.0,10
474,63.0,84.666664,48.0,10
475,22.0,85.0,48.333332,10
476,23.0,85.0,48.333332,10
477,24.0,85.0,48.333332,10
478,59.333332,85.0,48.0,10
479,59.0,85.333336,48.0,10
480,59.0,85.0,48.333332,10
481,62.666668,85.0,48.0,10
482,63.0,85.0,48.333332,10
483,22.0,86.333336,48.0,10
484,22.0,86.0,48.333332,10
485,23.0,86.0,48.333332,10
486,24.0,86.0,48.333332,10
487,25.0,86.0,48.333332,10
488,57.0,86.0,48.333332,10
489,58.333332,86.0,48.0,10
490,58.0,86.333336,48.0,10
491,58.0,86.0,48.333332,10
492,62.666668,86.0,48.0,10
493,62.0,86.666664,48.0,10
494,21.333334,87.0,48.0,10
495,22.666666,87.0,48.0,10
496,23.0,87.333336,48.0,10
497,23.0,87.0,48.333332,10
498,24.0,87.0,48.333332,10
499,25.0,87.0,48.333332,10
500,56.0,87.333336,48.0,10
501,56.0,87.0,48.333332,10
502,57.333332,87.0,48.0,10
503,57.0,87.333336,48.0,10
504,57.0,87.0,48.333332,10
505,61.666668,87.0,48.0,10
506,61.0,87.666664,48.0,10
507,21.333334,88.0,48.0,10
508,23.666666,88.0,48.0,10
509,24.0,88.333336,48.0,10
510,24.0,88.0,48.333332,10
511,25.0,88.0,48.333332,10
512,54.0,88.0,48.333332,10
513,55.333332,88.0,48.0,10
514,55.0,88.0,48.333332,10
515,60.666668,88.0,48.0,10
516,60.0,88.666664,48.0,10
517,21.333334,89.0,48.0,10
518,24.666666,89.0,48.0,10
519,25.0,89.333336,48.0,10
520,25.0,89.0,48.333332,10
521,26.0,89.333336,48.0,10
522,53.0,89.0,48.333332,10
523,54.0,89.333336,48.0,10
524,54.0,89.0,48.333332,10
525,55.333332,89.0,48.0,10
526,55.0,89.333336,48.0,10
527,55.0,89.0,48.333332,10
528,59.666668,89.0,48.0,10
529,59.0,89.666664,48.0,10
530,21.333334,90.0,48.0,10
531,26.666666,90.0,48.0,10
532,27.0,90.333336,48.0,10
533,28.0,90.333336,48.0,10
534,29.0,90.333336,48.0,10
535,30.0,90.333336,48.0,10
536,31.0,90.333336,48.0,10
537,32.0,90.333336,48.0,10
538,33.0,90.333336,48.0,10
539,34.0,90.333336,48.0,10
540,35.0,90.333336,48.0,10
541,36.0,90.333336,48.0,10
542,37.0,90.333336,48.0,10
543,38.0,90.333336,48.0,10
544,43.0,90.333336,48.0,10
545,44.0,90.333336,48.0,10
546,52.0,90.0,48.333332,10
547,53.333332,90.0,48.0,10
548,53.0,90.333336,48.0,10
549,53.0,90.0,48.333332,10
550,58.666668,90.0,48.0,10
551,58.0,90.666664,48.0,10
552,21.333334,91.0,48.0,10
553,29.0,91.0,48.666668,10
554,30.0,91.0,48.666668,10
555,38.666668,91.0,48.0,10
556,39.0,91.333336,48.0,10
557,40.0,91.333336,48.0,10
558,41.0,91.333336,48.0,10
559,42.333332,91.0,48.0,10
560,42.0,91.333336,48.0,10
561,43.0,91.0,48.666668,10
562,44.666668,91.0,48.0,10
563,44.0,91.0,48.666668,10
564,45.0,91.333336,48.0,10
565,46.0,91.333336,48.0,10
566,47.0,91.333336,48.0,10
567,48.0,91.333336,48.0,10
